user_id,timestamp,action
98431678,2025-04-08 01:56:28,вопрос: Расскажи  интересный факт
98431678,2025-04-08 01:57:37,вопрос: Расскажи анекдот
98431678,2025-04-08 01:57:56,вопрос: Расскажи анекдот про Штирлица
213377973,2025-04-08 02:02:09,/start
213377973,2025-04-08 02:02:22,вопрос: Привет! Расскажи о себе?)
2138419,2025-04-08 02:03:39,/start
2138419,2025-04-08 02:03:43,вопрос: Ку
2138419,2025-04-08 02:05:00,"вопрос: Напиши код на python, что бы вывел рисунок пингвина в терминал"
213377973,2025-04-08 02:05:07,вопрос: Какой именно ты ии?
213377973,2025-04-08 02:05:22,вопрос: Какой компании ?
213377973,2025-04-08 02:05:34,вопрос: Какая компания тебе делал?
